citation_key,item_type,title,year,journal,volume,issue,pages,doi,pmid,keywords,source_collection,source_query,url
Ge2016AmetaanalysisofP2X7gene1513ACpolym,article,A meta-analysis of P2X7 gene-1513A/C polymorphism and pulmonary tuberculosis susceptibility.,2016,Hum Immunol,77,1,126-130,10.1016/j.humimm.2015.11.009,26585364,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/26585364/
Wang2017AssociationbetweentheIL6genepoly,article,Association between the IL-6 gene polymorphism and tuberculosis risk: a meta-analysis.,2017,Infect Drug Resist,10,,445-454,10.2147/IDR.S144296,29225476,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/29225476/
Apt2017Hostgeneticsinsusceptibilitytoand,article,Host genetics in susceptibility to and severity of mycobacterial diseases.,2017,Tuberculosis (Edinb),106,,1-8,10.1016/j.tube.2017.05.004,28802396,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/28802396/
Kolloli2017HostDirectedTherapeuticStrate,article,Host-Directed Therapeutic Strategies for Tuberculosis.,2017,Front Med (Lausanne),4,,171,10.3389/fmed.2017.00171,29094039,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/29094039/
Kinnear2017Theroleofhumanhostgeneticsint,article,The role of human host genetics in tuberculosis resistance.,2017,Expert Rev Respir Med,11,9,721-737,10.1080/17476348.2017.1354700,28703045,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/28703045/
Koppula2018AminoacidtransporterSLC7A11xC,article,Amino acid transporter SLC7A11/xCT at the crossroads of regulating redox homeostasis and nutrient dependency of cancer.,2018,Cancer Commun (Lond),38,1,12,10.1186/s40880-018-0288-x,29764521,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/29764521/
Racanelli2018Autophagyandinflammationinc,article,Autophagy and inflammation in chronic respiratory disease.,2018,Autophagy,14,2,221-232,10.1080/15548627.2017.1389823,29130366,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/29130366/
Kaufmann2018Hostdirectedtherapiesforbact,article,Host-directed therapies for bacterial and viral infections.,2018,Nat Rev Drug Discov,17,1,35-56,10.1038/nrd.2017.162,28935918,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/28935918/
Foss2018ImagingMacrophageassociatedInfla,article,Imaging Macrophage-associated Inflammation.,2018,Semin Nucl Med,48,3,242-245,10.1053/j.semnuclmed.2017.12.002,29626941,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/29626941/
Harishankar2018InfluenceofGeneticPolymor,article,Influence of Genetic Polymorphism Towards Pulmonary Tuberculosis Susceptibility.,2018,Front Med (Lausanne),5,,213,10.3389/fmed.2018.00213,30167433,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/30167433/
Marakalala2018MacrophageHeterogeneityint,article,Macrophage Heterogeneity in the Immunopathogenesis of Tuberculosis.,2018,Front Microbiol,9,,1028,10.3389/fmicb.2018.01028,29875747,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/29875747/
Daley2018ManagementofMultidrugResistantT,article,Management of Multidrug-Resistant Tuberculosis.,2018,Semin Respir Crit Care Med,39,3,310-324,10.1055/s-0038-1661383,30071546,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/30071546/
Namasivayam2018TheMicrobiomeandTuberculo,article,The Microbiome and Tuberculosis: Early Evidence for Cross Talk.,2018,mBio,9,5,,10.1128/mBio.01420-18,30228238,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/30228238/
Amaral2019AmajorroleforferroptosisinMyco,article,A major role for ferroptosis in Mycobacterium tuberculosis-induced cell death and tissue necrosis.,2019,J Exp Med,216,3,556-570,10.1084/jem.20181776,30787033,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/30787033/
Aravindan2019Hostgeneticsandtuberculosis,article,Host genetics and tuberculosis: Theory of genetic polymorphism and tuberculosis.,2019,Lung India,36,3,244-252,10.4103/lungindia.lungindia_146_15,31031349,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/31031349/
Kaul2019Managementofmultidrugresistanttu,article,Management of multidrug-resistant tuberculosis in the 21st century.,2019,Drugs Today (Barc),55,3,215-224,10.1358/dot.2019.55.3.2927587,30938375,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/30938375/
Roca2019TNFInducesPathogenicProgrammedMa,article,TNF Induces Pathogenic Programmed Macrophage Necrosis in Tuberculosis through a Mitochondrial-Lysosomal-Endoplasmic Reticulum Circuit.,2019,Cell,178,6,1344-1361.e11,10.1016/j.cell.2019.08.004,31474371,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/31474371/
Hu2020Associationbetweeninterleukin8251A,article,Association between interleukin-8 -251A/T polymorphism and the risk of tuberculosis: A meta-analysis.,2020,J Int Med Res,48,5,300060520917877,10.1177/0300060520917877,32393145,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/32393145/
Jin2020AssociationbetweenTLR2Arg677Trppo,article,Association between TLR2 Arg677Trp polymorphism and tuberculosis susceptibility: A meta-analysis.,2020,Microb Pathog,144,,104173,10.1016/j.micpath.2020.104173,32224213,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/32224213/
Hortle2020Hostdirectedtherapiestargeting,article,Host-directed therapies targeting the tuberculosis granuloma stroma.,2020,Pathog Dis,78,2,,10.1093/femspd/ftaa015,32149337,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/32149337/
Hu2020SuppressionoftheSLC7A11glutathione,article,Suppression of the SLC7A11/glutathione axis causes synthetic lethality in KRAS-mutant lung adenocarcinoma.,2020,J Clin Invest,130,4,1752-1766,10.1172/JCI124049,31874110,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/31874110/
Dian2021Centralnervoussystemtuberculosis,article,Central nervous system tuberculosis.,2021,Curr Opin Neurol,34,3,396-402,10.1097/WCO.0000000000000920,33661159,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/33661159/
Khawbung2021DrugresistantTuberculosisAre,article,Drug resistant Tuberculosis: A review.,2021,Comp Immunol Microbiol Infect Dis,74,,101574,10.1016/j.cimid.2020.101574,33249329,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/33249329/
Swain2021DrugleadAntituberculosisPhytoch,article,Drug-lead Anti-tuberculosis Phytochemicals: A Systematic Review.,2021,Curr Top Med Chem,21,20,1832-1868,10.2174/1568026621666210705170510,34225624,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/34225624/
Costa2021EditorialHostDirectedTherapiesf,article,Editorial: Host-Directed Therapies for Tuberculosis.,2021,Front Cell Infect Microbiol,11,,742053,10.3389/fcimb.2021.742053,34422685,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/34422685/
Jagannath2021EditorialTheAutophagyPathwa,article,Editorial: The Autophagy Pathway: Bacterial Pathogen Immunity and Evasion.,2021,Front Immunol,12,,768935,10.3389/fimmu.2021.768935,34650572,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/34650572/
Sultana2021HIVinfectionandmultidrugresis,article,HIV infection and multidrug resistant tuberculosis: a systematic review and meta-analysis.,2021,BMC Infect Dis,21,1,51,10.1186/s12879-020-05749-2,33430786,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/33430786/
CamineroLuna2021Multidrugresistanttuberc,article,"Multi-drug resistant tuberculosis, ten years later.",2021,Med Clin (Barc),156,8,393-401,10.1016/j.medcli.2020.08.018,33531151,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/33531151/
RaveslootChávez2021TheInnateImmuneRespon,article,The Innate Immune Response to Mycobacterium tuberculosis Infection.,2021,Annu Rev Immunol,39,,611-637,10.1146/annurev-immunol-093019-010426,33637017,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/33637017/
Orazulike2021TuberculosisTBinpregnancyAr,article,Tuberculosis (TB) in pregnancy - A review.,2021,Eur J Obstet Gynecol Reprod Biol,259,,167-177,10.1016/j.ejogrb.2021.02.016,33684671,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/33684671/
Borah2021TuberculosisAnUpdateonPathophys,article,"Tuberculosis: An Update on Pathophysiology, Molecular Mechanisms of Drug Resistance, Newer Anti-TB Drugs, Treatment Regimens and Host- Directed Therapies.",2021,Curr Top Med Chem,21,6,547-570,10.2174/1568026621999201211200447,33319660,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/33319660/
Tiberi2022DrugresistantTBlatestdevelopme,article,"Drug resistant TB - latest developments in epidemiology, diagnostics and management.",2022,Int J Infect Dis,124 Suppl 1,,S20-S25,10.1016/j.ijid.2022.03.026,35342000,bedaquiline-safety-qtc; global-burden-guidelines; thesis-body; thesis-review,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/35342000/
Amaral2022GPX4regulatescellularnecrosisa,article,GPX4 regulates cellular necrosis and host resistance in Mycobacterium tuberculosis infection.,2022,J Exp Med,219,11,,10.1084/jem.20220504,36069923,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/36069923/
Jeong2022HostDirectedTherapiesforTubercu,article,Host-Directed Therapies for Tuberculosis.,2022,Pathogens,11,11,,10.3390/pathogens11111291,36365041,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/36365041/
Smith2022Hostpathogengeneticinteractions,article,Host-pathogen genetic interactions underlie tuberculosis susceptibility in genetically diverse mice.,2022,Elife,11,,,10.7554/eLife.74419,35112666,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/35112666/
Chen2022Ifnargenevariantsinfluencegutmic,article,Ifnar gene variants influence gut microbial production of palmitoleic acid and host immune responses to tuberculosis.,2022,Nat Metab,4,3,359-373,10.1038/s42255-022-00547-3,35288721,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/35288721/
ElMasry2022Pulmonarytuberculosissuscepti,article,Pulmonary tuberculosis susceptibility and association with Toll-Like receptor 2 Arg753Gln polymorphism.,2022,J Infect Dev Ctries,16,1,125-133,10.3855/jidc.14885,35192530,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/35192530/
Maschalidi2022TargetingSLC7A11improvesef,article,Targeting SLC7A11 improves efferocytosis by dendritic cells and wound healing in diabetes.,2022,Nature,606,7915,776-784,10.1038/s41586-022-04754-6,35614212,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/35614212/
Kumar2022Tuberculosisofthespineanddrugre,article,Tuberculosis of the spine and drug resistance: a review article.,2022,Neurosurg Rev,45,1,217-229,10.1007/s10143-021-01595-1,34176000,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/34176000/
Brehm2023Treatmentoftuberculosiswhatisne,article,[Treatment of tuberculosis: what is new?].,2023,Inn Med (Heidelb),64,7,701-707,10.1007/s00108-023-01523-z,37316702,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/37316702/
He2023ATF4suppresseshepatocarcinogenesis,article,ATF4 suppresses hepatocarcinogenesis by inducing SLC7A11 (xCT) to block stress-related ferroptosis.,2023,J Hepatol,79,2,362-377,10.1016/j.jhep.2023.03.016,36996941,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/36996941/
Singh2023BedaquilineinDrugResistantTuber,article,Bedaquiline in Drug-Resistant Tuberculosis: A Mini-Review.,2023,Curr Mol Pharmacol,16,3,243-253,10.2174/1874467215666220421130707,36919348,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/36919348/
Bao2023Cigarettetarmediatesmacrophagefer,article,Cigarette tar mediates macrophage ferroptosis in atherosclerosis through the hepcidin/FPN/SLC7A11 signaling pathway.,2023,Free Radic Biol Med,201,,76-88,10.1016/j.freeradbiomed.2023.03.006,36933812,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/36933812/
Typiak2023ComparativeAnalysisofFCGRGeneP,article,Comparative Analysis of FCGR Gene Polymorphism in Pulmonary Sarcoidosis and Tuberculosis.,2023,Cells,12,9,,10.3390/cells12091221,37174624,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/37174624/
Udinia2023Hostdirectedtherapyagainsttube,article,Host-directed therapy against tuberculosis: Concept and recent developments.,2023,J Biosci,48,,,,38088376,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/38088376/
Krishnan2023Mycobacteriumtuberculosisand,article,Mycobacterium tuberculosis and its clever approaches to escape the deadly macrophage.,2023,World J Microbiol Biotechnol,39,11,300,10.1007/s11274-023-03735-9,37667129,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/37667129/
Dai2023Mycobacteriumtuberculosishijacksh,article,Mycobacterium tuberculosis hijacks host TRIM21- and NCOA4-dependent ferritinophagy to enhance intracellular growth.,2023,J Clin Invest,133,8,,10.1172/JCI159941,37066876,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/37066876/
Yang2023MycobacteriumtuberculosisPathoge,article,Mycobacterium tuberculosis: Pathogenesis and therapeutic targets.,2023,MedComm (2020),4,5,e353,10.1002/mco2.353,37674971,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/37674971/
Ivanova2023Posttuberculosislungimpairmen,article,Post-tuberculosis lung impairment: systematic review and meta-analysis of spirometry data from 14 621 people.,2023,Eur Respir Rev,32,168,,10.1183/16000617.0221-2022,37076175,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/37076175/
Yan2023SLC7A11expressionleveldictatesdif,article,SLC7A11 expression level dictates differential responses to oxidative stress in cancer cells.,2023,Nat Commun,14,1,3673,10.1038/s41467-023-39401-9,37339981,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/37339981/
Takeda2023Sulfurmetabolicresponseinmacro,article,Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop.,2023,Redox Biol,65,,102834,10.1016/j.redox.2023.102834,37536084,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/37536084/
Tang2023TargetedxCTmediatedFerroptosisan,article,Targeted xCT-mediated Ferroptosis and Protumoral Polarization of Macrophages Is Effective against HCC and Enhances the Efficacy of the Anti-PD-1/L1 Response.,2023,Adv Sci (Weinh),10,2,e2203973,10.1002/advs.202203973,36442849,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/36442849/
NdongSima2023Theimmunogeneticsoftubercul,article,The immunogenetics of tuberculosis (TB) susceptibility.,2023,Immunogenetics,75,3,215-230,10.1007/s00251-022-01290-5,36512056,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/36512056/
Kreß2023Theintegratedstressresponseeffec,article,The integrated stress response effector ATF4 is an obligatory metabolic activator of NRF2.,2023,Cell Rep,42,7,112724,10.1016/j.celrep.2023.112724,37410595,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/37410595/
Vanino2023Updateofdrugresistanttuberculo,article,Update of drug-resistant tuberculosis treatment guidelines: A turning point.,2023,Int J Infect Dis,130 Suppl 1,,S12-S15,10.1016/j.ijid.2023.03.013,36918080,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/36918080/
Lai2023UridineAlleviatesSepsisInducedAcu,article,Uridine Alleviates Sepsis-Induced Acute Lung Injury by Inhibiting Ferroptosis of Macrophage.,2023,Int J Mol Sci,24,6,,10.3390/ijms24065093,36982166,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/36982166/
Yang2024AberrantExpressionofSLC7A11Impai,article,Aberrant Expression of SLC7A11 Impairs the Antimicrobial Activities of Macrophages in Staphylococcus Aureus Osteomyelitis in Mice.,2024,Int J Biol Sci,20,7,2555-2575,10.7150/ijbs.93592,38725861,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/38725861/
Liu2024Disulfidptosisdisulfidestressindu,article,Disulfidptosis: disulfide stress-induced cell death.,2024,Trends Cell Biol,34,4,327-337,10.1016/j.tcb.2023.07.009,37574347,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/37574347/
vanWyk2024DrugResistantTuberculosisCaseF,article,Drug-Resistant Tuberculosis Case-Finding Strategies: Scoping Review.,2024,JMIR Public Health Surveill,10,,e46137,10.2196/46137,38924777,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/38924777/
PecchilloCimmino2024FormylPeptideRecepto,article,Formyl-Peptide Receptor 2 Signaling Modulates SLC7A11/xCT Expression and Activity in Tumor Cells.,2024,Antioxidants (Basel),13,5,,10.3390/antiox13050552,38790657,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/38790657/
Dewan2024Intracellularperoxynitritepertu,article,"Intracellular peroxynitrite perturbs redox balance, bioenergetics, and Fe-S cluster homeostasis in Mycobacterium tuberculosis.",2024,Redox Biol,75,,103285,10.1016/j.redox.2024.103285,39128229,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/39128229/
Pi2024Macrophagetargetedgrapheneoxidenan,article,Macrophage targeted graphene oxide nanosystem synergize antibiotic killing and host immune defense for Tuberculosis Therapy.,2024,Pharmacol Res,208,,107379,10.1016/j.phrs.2024.107379,39218421,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/39218421/
Luo2024MCLattenuatesatherosclerosisbysup,article,MCL attenuates atherosclerosis by suppressing macrophage ferroptosis via targeting KEAP1/NRF2 interaction.,2024,Redox Biol,69,,102987,10.1016/j.redox.2023.102987,38100883,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/38100883/
Nakamizo2024Metabolicreprogrammingandmac,article,Metabolic reprogramming and macrophage polarization in granuloma formation.,2024,Int Immunol,36,7,329-338,10.1093/intimm/dxae013,38441292,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/38441292/
Dheda2024Multidrugresistanttuberculosis,article,Multidrug-resistant tuberculosis.,2024,Nat Rev Dis Primers,10,1,22,10.1038/s41572-024-00504-2,38523140,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/38523140/
Wulandari2024Multidrugresistanttuberculo,article,Multidrug-resistant tuberculosis.,2024,Clin Chim Acta,559,,119701,10.1016/j.cca.2024.119701,38697459,thesis-review; global-burden-guidelines,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/38697459/
Liu2024Nanomaterialmediatedhostdirectedt,article,Nanomaterial-mediated host directed therapy of tuberculosis by manipulating macrophage autophagy.,2024,J Nanobiotechnology,22,1,608,10.1186/s12951-024-02875-w,39379986,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/39379986/
Wang2024Naturalhydrogengasandengineeredm,article,Natural hydrogen gas and engineered microalgae prevent acute lung injury in sepsis.,2024,Mater Today Bio,28,,101247,10.1016/j.mtbio.2024.101247,39328786,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/39328786/
Huang2024Naturalproductsinantituberculos,article,Natural products in anti-tuberculosis host-directed therapy.,2024,Biomed Pharmacother,171,,116087,10.1016/j.biopha.2023.116087,38171242,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/38171242/
Li2024Photothermaltherapyoftuberculosisu,article,Photothermal therapy of tuberculosis using targeting pre-activated macrophage membrane-coated nanoparticles.,2024,Nat Nanotechnol,19,6,834-845,10.1038/s41565-024-01618-0,38383890,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/38383890/
Yerezhepov2024Pulmonarytuberculosisepide,article,Pulmonary tuberculosis epidemiology and genetics in Kazakhstan.,2024,Front Public Health,12,,1340673,10.3389/fpubh.2024.1340673,38706548,thesis-review; host-genetics-precision,thesis-review,host-genetics-precision,https://pubmed.ncbi.nlm.nih.gov/38706548/
Fantone2024RoleofSLC7A11xCTinOvarianCanc,article,Role of SLC7A11/xCT in Ovarian Cancer.,2024,Int J Mol Sci,25,1,,10.3390/ijms25010587,38203758,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/38203758/
Lv2024SLC7A11ROSαKGAMPKaxisregulateslive,article,SLC7A11-ROS/αKG-AMPK axis regulates liver inflammation through mitophagy and impairs liver fibrosis and NASH progression.,2024,Redox Biol,72,,103159,10.1016/j.redox.2024.103159,38642501,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/38642501/
Xu2024Themechanismsofferroptosisanditsro,article,The mechanisms of ferroptosis and its role in atherosclerosis.,2024,Biomed Pharmacother,171,,116112,10.1016/j.biopha.2023.116112,38171246,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/38171246/
Venkatasubramanian2024TOLLIPinhibitslipi,article,TOLLIP inhibits lipid accumulation and the integrated stress response in alveolar macrophages to control Mycobacterium tuberculosis infection.,2024,Nat Microbiol,9,4,949-963,10.1038/s41564-024-01641-w,38528148,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/38528148/
Arias2024Tuberculosisinotherwisehealthya,article,Tuberculosis in otherwise healthy adults with inherited TNF deficiency.,2024,Nature,633,8029,417-425,10.1038/s41586-024-07866-3,39198650,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/39198650/
Salti2024WidespreadSpersulfidationinacti,article,Widespread S-persulfidation in activated macrophages as a protective mechanism against oxidative-inflammatory stress.,2024,Redox Biol,72,,103125,10.1016/j.redox.2024.103125,38574432,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/38574432/
Grosjean2025Anisletresidentmacrophageant,article,An islet-resident macrophage antioxidant program preserves β cell physiology.,2025,Sci Immunol,10,113,eadz5181,10.1126/sciimmunol.adz5181,41237222,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/41237222/
Silva2025Bedaquilinepretomanidlinezolida,article,"Bedaquiline, pretomanid, linezolid, and moxifloxacin (BPaLM) for multidrug- or rifampin-resistant tuberculosis: a systematic review.",2025,J Bras Pneumol,50,6,e20240295,10.36416/1806-3756/e20240295,39813501,bedaquiline-safety-qtc; global-burden-guidelines; linezolid-toxicity; thesis-body; thesis-review,thesis-review,global-burden-guidelines,https://pubmed.ncbi.nlm.nih.gov/39813501/
Yadav2025Bioenergeticreprogrammingofmacr,article,Bioenergetic reprogramming of macrophages reduces drug tolerance in Mycobacterium tuberculosis.,2025,Nat Commun,16,1,9370,10.1038/s41467-025-64407-w,41130947,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/41130947/
Liao2025cGASmediatedantibacterialimmunot,article,cGAS-mediated antibacterial immunotherapy against tuberculosis by macrophage-targeted manganese dioxide nanoagonist.,2025,Acta Biomater,196,,471-486,10.1016/j.actbio.2025.03.002,40044101,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/40044101/
Qin2025Enhancedglycolysisderivedlactatep,article,Enhanced glycolysis-derived lactate promotes microglial activation in Parkinson's disease via histone lactylation.,2025,NPJ Parkinsons Dis,11,1,3,10.1038/s41531-024-00858-0,39753581,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/39753581/
Lin2025ExosomalCagAinducesmacrophagepola,article,Exosomal CagA induces macrophage polarization and ferroptosis by JAK1-2/STAT1 signaling pathway in Helicobacter pylori-associated gastritis.,2025,Free Radic Biol Med,239,,91-103,10.1016/j.freeradbiomed.2025.07.031,40706822,thesis-review; sasp-xct-mechanism,thesis-review,sasp-xct-mechanism,https://pubmed.ncbi.nlm.nih.gov/40706822/
WHO2025GlobalTB,report,Global tuberculosis report 2025,2025,,,,,,,thesis-review; guideline; global-burden,thesis-review,manual,https://www.who.int/publications/i/item/9789240116924
Tian2025Hostdirectedtherapyfortuberculos,article,Host-directed therapy for tuberculosis.,2025,Eur J Med Res,30,1,267,10.1186/s40001-025-02443-4,40211397,thesis-review; hdt-review,thesis-review,hdt-review,https://pubmed.ncbi.nlm.nih.gov/40211397/
Simwela2025Impairedfattyacidimportorcata,article,Impaired fatty acid import or catabolism in macrophages restricts intracellular growth of Mycobacterium tuberculosis.,2025,Elife,13,,,10.7554/eLife.102980,40080408,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/40080408/
KrishnaPrasad2025MacrophageTcellinteract,article,Macrophage-T cell interactions promote SLAMF1 expression for enhanced TB defense.,2025,Nat Commun,16,1,6794,10.1038/s41467-025-61826-7,40701970,thesis-review; tb-macrophage-immunity,thesis-review,tb-macrophage-immunity,https://pubmed.ncbi.nlm.nih.gov/40701970/
