citation_key,item_type,title,year,journal,volume,issue,pages,doi,pmid,keywords,source_collection,source_query,url
Zong2023Characterisationofmacrophageinfi,article,Characterisation of macrophage infiltration and polarisation based on integrated transcriptomic and histological analyses in Primary Sjögren's syndrome.,2023,Front Immunol,14,,1292146,10.3389/fimmu.2023.1292146,38022546,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/38022546/
Haston2023Clearanceofsenescentmacrophage,article,Clearance of senescent macrophages ameliorates tumorigenesis in KRAS-driven lung cancer.,2023,Cancer Cell,41,7,1242-1260.e6,10.1016/j.ccell.2023.05.004,37267953,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/37267953/
deLima2023GeneticandEpigeneticRegulation,article,Genetic and Epigenetic Regulation of the Innate Immune Response to Gout.,2023,Immunol Invest,52,3,364-397,10.1080/08820139.2023.2168554,36745138,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/36745138/
Winters2023Identifyingpatientswithmultid,article,Identifying patients with multidrug-resistant tuberculosis who may benefit from shorter durations of treatment.,2023,PLoS One,18,10,e0292106,10.1371/journal.pone.0292106,37797071,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/37797071/
Miller2023Linezolidopticneuropathy,article,Linezolid optic neuropathy.,2023,Curr Opin Ophthalmol,34,6,481-486,10.1097/ICU.0000000000000995,37603423,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/37603423/
Schloesser2023Senescentcellssuppressmacr,article,Senescent cells suppress macrophage-mediated corpse removal via upregulation of the CD47-QPCT/L axis.,2023,J Cell Biol,222,2,,10.1083/jcb.202207097,36459066,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/36459066/
Frare2023Sexandagedependentcontributiono,article,"Sex- and age-dependent contribution of System xc- to cognitive, sensory, and social behaviors revealed by comprehensive behavioral analyses of System xc- null mice.",2023,Front Behav Neurosci,17,,1238349,10.3389/fnbeh.2023.1238349,37649973,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/37649973/
Fu2023SEALMDRProtocol,article,Study protocol for safety and efficacy of all-oral shortened regimens for multidrug-resistant tuberculosis: a multicenter randomized withdrawal trial and a single-arm trial [SEAL-MDR],2023,BMC Infectious Diseases,23,1,834,10.1186/s12879-023-08828-w,,thesis-body; protocol; mdr-chin,thesis-body,manual,
Geiger2023SuccessfulMultidrugResistantTu,article,Successful Multidrug-Resistant Tuberculosis Treatment Without HIV Viral Suppression: A Missed Opportunity.,2023,J Acquir Immune Defic Syndr,94,3,253-261,10.1097/QAI.0000000000003268,37757847,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/37757847/
Lai2023Theimpactofalcoholicdrinksanddiet,article,The impact of alcoholic drinks and dietary factors on epigenetic markers associated with triglyceride levels.,2023,Front Genet,14,,1117778,10.3389/fgene.2023.1117778,36873949,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/36873949/
