group,records_n,unique_id_strings_n,centers_n,age_median,age_q1,age_q3,female_n,female_pct,month2_neg,month2_eval,month2_rate,month2_rate_ci,eot_neg,eot_eval,eot_rate,eot_rate_ci,eligible_6m,assessed_6m,unfavorable_6m,unfavorable_6m_rate,unfavorable_6m_rate_ci,ascertainment_6m_pct,eligible_12m,assessed_12m,unfavorable_12m,unfavorable_12m_rate,unfavorable_12m_rate_ci,ascertainment_12m_pct
A,345,343,18,39.0,31.0,51.0,112,32.5,294,317,92.7,"294/317 (92.7%, 89.3-95.1)",293,302,97.0,"293/302 (97.0%, 94.4-98.4)",312,271,21,7.7,"21/271 (7.7%, 5.1-11.6)",86.9,302,251,47,18.7,"47/251 (18.7%, 14.4-24.0)",83.1
B,120,120,18,48.0,34.0,57.0,17,14.2,82,96,85.4,"82/96 (85.4%, 77.0-91.1)",68,72,94.4,"68/72 (94.4%, 86.6-97.8)",81,53,6,11.3,"6/53 (11.3%, 5.3-22.6)",65.4,78,50,9,18.0,"9/50 (18.0%, 9.8-30.8)",64.1
C,87,87,16,43.0,28.5,58.0,26,29.9,62,74,83.8,"62/74 (83.8%, 73.8-90.5)",66,69,95.7,"66/69 (95.7%, 88.0-98.5)",75,66,5,7.6,"5/66 (7.6%, 3.3-16.5)",88.0,72,58,5,8.6,"5/58 (8.6%, 3.7-18.6)",80.6
D,49,49,14,53.0,35.0,58.0,10,20.4,32,42,76.2,"32/42 (76.2%, 61.5-86.5)",25,29,86.2,"25/29 (86.2%, 69.4-94.5)",22,12,5,41.7,"5/12 (41.7%, 19.3-68.0)",54.5,11,6,4,66.7,"4/6 (66.7%, 30.0-90.3)",54.5
E,132,132,9,44.0,32.5,58.0,47,35.6,95,109,87.2,"95/109 (87.2%, 79.6-92.2)",94,96,97.9,"94/96 (97.9%, 92.7-99.4)",111,90,16,17.8,"16/90 (17.8%, 11.2-26.9)",81.1,104,74,23,31.1,"23/74 (31.1%, 21.7-42.3)",71.2
